id;Año;Sexo;Distrito;Valor;Fecha creacion;Fecha baja
5;2009;Ambos;L'EIXAMPLE;82.19;2023-07-02;NA
7;2009;Ambos;CAMPANAR;82.17;2023-07-02;NA
16;2009;Ambos;ALGIROS;82.34;2023-07-02;NA
19;2009;Ambos;BENICALAP;81.68;2023-07-02;NA
29;2010;Ambos;CAMPANAR;82.3;2023-07-02;NA
38;2010;Ambos;ALGIROS;82.31;2023-07-02;NA
40;2010;Ambos;RASCANYA;81.3;2023-07-02;NA
41;2010;Ambos;BENICALAP;82.03;2023-07-02;NA
44;2010;Ambos;POBLATS DEL NORD;82.55;2023-07-02;NA
46;2011;Hombres;Todos;78.63;2023-07-02;NA
48;2011;Ambos;CIUTAT VELLA;80.69;2023-07-02;NA
49;2011;Ambos;L'EIXAMPLE;82.29;2023-07-02;NA
50;2011;Ambos;EXTRAMURS;83.02;2023-07-02;NA
52;2011;Ambos;LA SAIDIA;82.38;2023-07-02;NA
54;2011;Ambos;L'OLIVERETA;81.9;2023-07-02;NA
56;2011;Ambos;JESUS;81.69;2023-07-02;NA
57;2011;Ambos;QUATRE CARRERES;81.94;2023-07-02;NA
58;2011;Ambos;POBLATS MARITIMS;80.38;2023-07-02;NA
59;2011;Ambos;CAMINS AL GRAU;82.27;2023-07-02;NA
60;2011;Ambos;ALGIROS;82.75;2023-07-02;NA
62;2011;Ambos;RASCANYA;81.41;2023-07-02;NA
64;2011;Ambos;POBLATS DE L'OEST;81.03;2023-07-02;NA
71;2012;Ambos;L'EIXAMPLE;82.94;2023-07-02;NA
73;2012;Ambos;CAMPANAR;83.07;2023-07-02;NA
74;2012;Ambos;LA SAIDIA;82.47;2023-07-02;NA
75;2012;Ambos;EL PLA DEL REAL;84.31;2023-07-02;NA
77;2012;Ambos;PATRAIX;82.56;2023-07-02;NA
78;2012;Ambos;JESUS;82.04;2023-07-02;NA
86;2012;Ambos;POBLATS DE L'OEST;81.62;2023-07-02;NA
88;2012;Ambos;POBLATS DEL NORD;81.65;2023-07-02;NA
89;2013;Ambos;Todos;82.47;2023-07-02;NA
93;2013;Ambos;L'EIXAMPLE;83.42;2023-07-02;NA
97;2013;Ambos;EL PLA DEL REAL;84.8;2023-07-02;NA
98;2013;Ambos;L'OLIVERETA;82.63;2023-07-02;NA
99;2013;Ambos;PATRAIX;82.91;2023-07-02;NA
101;2013;Ambos;QUATRE CARRERES;82.4;2023-07-02;NA
103;2013;Ambos;CAMINS AL GRAU;82.9;2023-07-02;NA
104;2013;Ambos;ALGIROS;83.19;2023-07-02;NA
106;2013;Ambos;RASCANYA;82.41;2023-07-02;NA
107;2013;Ambos;BENICALAP;82.72;2023-07-02;NA
108;2013;Ambos;POBLATS DE L'OEST;81.25;2023-07-02;NA
109;2013;Ambos;POBLATS DE L'OEST;82.12;2023-07-02;NA
113;2014;Mujeres;Todos;85.35;2023-07-02;NA
119;2014;Ambos;EL PLA DEL REAL;85.07;2023-07-02;NA
126;2014;Ambos;ALGIROS;83.3;2023-07-02;NA
129;2014;Ambos;BENICALAP;82.98;2023-07-02;NA
140;2015;Ambos;LA SAIDIA;83.19;2023-07-02;NA
141;2015;Ambos;EL PLA DEL REAL;85.5;2023-07-02;NA
152;2015;Ambos;POBLATS DE L'OEST;82.16;2023-07-02;NA
154;2015;Ambos;POBLATS DEL NORD;82.98;2023-07-02;NA
155;2016;Ambos;Todos;82.96;2023-07-02;NA
156;2016;Hombres;Todos;79.97;2023-07-02;NA
157;2016;Mujeres;Todos;85.56;2023-07-02;NA
158;2016;Ambos;CIUTAT VELLA;81.84;2023-07-02;NA
160;2016;Ambos;EXTRAMURS;83.87;2023-07-02;NA
164;2016;Ambos;L'OLIVERETA;82.86;2023-07-02;NA
165;2016;Ambos;PATRAIX;83.61;2023-07-02;NA
167;2016;Ambos;QUATRE CARRERES;83.13;2023-07-02;NA
176;2016;Ambos;POBLATS DEL NORD;83.03;2023-07-02;NA
179;2017;Mujeres;Todos;85.75;2023-07-02;NA
189;2017;Ambos;QUATRE CARRERES;83.33;2023-07-02;NA
191;2017;Ambos;CAMINS AL GRAU;83.4;2023-07-02;NA
193;2017;Ambos;BENIMACLET;83.99;2023-07-02;NA
200;2018;Hombres;Todos;80.37;2023-07-02;NA
203;2018;Ambos;L'EIXAMPLE;84.34;2023-07-02;NA
207;2018;Ambos;EL PLA DEL REAL;85.26;2023-07-02;NA
209;2018;Ambos;PATRAIX;83.87;2023-07-02;NA
210;2018;Ambos;JESUS;84.12;2023-07-02;NA
214;2018;Ambos;ALGIROS;83.9;2023-07-02;NA
224;2019;Ambos;CIUTAT VELLA;81.86;2023-07-02;NA
225;2019;Ambos;L'EIXAMPLE;85.15;2023-07-02;NA
229;2019;Ambos;EL PLA DEL REAL;85.42;2023-07-02;NA
231;2019;Ambos;PATRAIX;84.55;2023-07-02;NA
235;2019;Ambos;CAMINS AL GRAU;83.98;2023-07-02;NA
239;2019;Ambos;BENICALAP;83.4;2023-07-02;NA
240;2019;Ambos;POBLATS DE L'OEST;83.51;2023-07-02;NA
241;2019;Ambos;POBLATS DE L'OEST;83.21;2023-07-02;NA
242;2019;Ambos;POBLATS DEL NORD;83.66;2023-07-02;NA
244;2020;Hombres;Todos;80.07;2023-07-02;NA
248;2020;Ambos;EXTRAMURS;83.7;2023-07-02;NA
249;2020;Ambos;CAMPANAR;84.57;2023-07-02;NA
251;2020;Ambos;EL PLA DEL REAL;84.6;2023-07-02;NA
255;2020;Ambos;QUATRE CARRERES;82.49;2023-07-02;NA
257;2020;Ambos;CAMINS AL GRAU;83.02;2023-07-02;NA
259;2020;Ambos;BENIMACLET;84.3;2023-07-02;NA
261;2020;Ambos;BENICALAP;83.09;2023-07-02;NA
265;2021;Ambos;Todos;83.85;2023-07-02;NA
268;2021;Ambos;CIUTAT VELLA;81.79;2023-07-02;NA
270;2021;Ambos;EXTRAMURS;84.53;2023-07-02;NA
276;2021;Ambos;JESUS;83.59;2023-07-02;NA
278;2021;Ambos;POBLATS MARITIMS;82.06;2023-07-02;NA
279;2021;Ambos;CAMINS AL GRAU;83.54;2023-07-02;NA
280;2021;Ambos;ALGIROS;84.91;2023-07-02;NA
281;2021;Ambos;BENIMACLET;85.08;2023-07-02;NA
283;2021;Ambos;BENICALAP;83.98;2023-07-02;NA
284;2021;Ambos;POBLATS DE L'OEST;83.85;2023-07-02;NA
285;2021;Ambos;POBLATS DE L'OEST;83.32;2023-07-02;NA
286;2021;Ambos;POBLATS DEL NORD;83.55;2023-07-02;NA
